Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,hour,day_of_week,month,is_peak_hour,is_weekend,Load_Type_encoded,usage_lag1,usage_lag4,usage_rolling_mean,usage_rolling_std
4.5,0.0,64.72,100.0,4500,1,0,1,0,0,0,3.31,3.17,3.5925000000000002,0.37499999999999983
3.56,0.0,67.76,100.0,5400,1,0,1,0,0,0,3.82,4.0,3.4125,0.27317576759295464
4.14,0.0,65.62,100.0,6300,1,0,1,0,0,0,3.28,3.24,3.5025,0.2561737691489899
4.28,0.0,64.37,100.0,7200,2,0,1,0,0,0,3.6,3.31,3.5749999999999997,0.22233608194203033
3.64,0.0,66.94,100.0,8100,2,0,1,0,0,0,3.6,3.82,3.4400000000000004,0.18475208614068064
4.72,0.0,62.51,100.0,9000,2,0,1,0,0,0,3.28,3.28,3.565,0.20808652046684795
4.03,0.0,65.14,100.0,9900,2,0,1,0,0,0,3.78,3.6,3.53,0.21197484127446184
3.64,0.0,66.49,100.0,10800,3,0,1,0,0,0,3.46,3.6,3.44,0.24603522782994575
4.97,0.0,62.32,100.0,11700,3,0,1,0,0,0,3.24,3.28,3.6100000000000003,0.32186953878862123
3.74,0.0,66.27,100.0,12600,3,0,1,0,0,0,3.96,3.78,3.4924999999999997,0.3248974197086415
3.85,0.0,65.19,100.0,13500,3,0,1,0,0,0,3.31,3.46,3.455,0.3382799629498223
5.0,0.0,61.4,100.0,14400,4,0,1,0,0,0,3.31,3.24,3.6175,0.35621856586464795
3.82,0.0,65.14,100.0,15300,4,0,1,0,0,0,3.89,3.96,3.4475,0.295338788512447
4.28,0.0,63.95,100.0,16200,4,0,1,0,0,0,3.28,3.31,3.5100000000000002,0.2827248367818669
4.54,0.0,63.58,100.0,17100,4,0,1,0,0,0,3.56,3.31,3.6175,0.2623451924468982
3.6,0.0,67.68,100.0,18000,5,0,1,0,0,0,3.74,3.89,3.4725,0.21807873196011862
4.07,0.0,65.84,100.0,18900,5,0,1,0,0,0,3.31,3.28,3.5425000000000004,0.1767059704707228
4.1,0.0,65.56,100.0,19800,5,0,1,0,0,0,3.56,3.56,3.5425,0.1767059704707228
3.49,0.0,68.48,100.0,20700,5,0,1,0,0,0,3.56,3.74,3.4275,0.1534872415979033
4.32,0.0,65.85,100.0,21600,6,0,1,0,0,0,3.28,3.31,3.545,0.2048576741707926
3.64,0.0,67.72,100.0,22500,6,0,1,0,0,0,3.78,3.56,3.4925,0.2255918142722969
3.35,0.0,69.52,100.0,23400,6,0,1,0,0,0,3.35,3.56,3.4125,0.24918199506919897
4.46,0.0,65.73,100.0,24300,6,0,1,0,0,0,3.24,3.28,3.5650000000000004,0.3181718613160712
3.53,0.0,68.4,100.0,25200,7,0,1,0,0,0,3.89,3.78,3.4475,0.2984822719470395
3.49,0.0,68.48,100.0,26100,7,0,1,0,0,0,3.31,3.35,3.43,0.3080043289739066
4.75,0.0,62.97,100.0,27000,7,0,1,0,0,0,3.28,3.24,3.5825,0.33260336739125185
3.6,0.0,66.44,100.0,27900,7,0,1,0,0,0,3.85,3.89,3.41,0.2969848480983497
3.78,0.0,65.88,100.0,28800,8,0,1,1,0,0,3.2,3.31,3.41,0.2969848480983497
4.75,0.0,62.27,100.0,29700,8,0,1,1,0,0,3.31,3.28,3.535,0.3276685317003549
3.74,0.0,65.94,100.0,30600,8,0,1,1,0,0,3.78,3.85,3.3925,0.26247222075234244
4.46,0.18,61.63,99.87,31500,8,0,1,1,0,0,3.28,3.2,3.4650000000000003,0.22956480566497955
0.0,15.66,100.0,24.11,32400,9,0,1,1,0,0,3.49,3.31,3.6100000000000003,0.27724838442571054
0.0,16.96,100.0,20.76,33300,9,0,1,1,0,0,3.89,3.78,3.565,0.25409971795865216
0.0,21.28,100.0,18.61,34200,9,0,1,1,0,0,3.6,3.28,3.7525,0.2503830398942119
0.0,19.22,100.0,19.98,35100,9,0,1,1,0,0,4.03,3.49,3.86,0.18348478592697126
